id;nome;siglaPartido;siglaUf;urlFoto
220576;Alfredo Gaspar;PL;AL;https://www.camara.leg.br/internet/deputado/bandep/220576.jpg
74057;Alice Portugal;PCdoB;BA;https://www.camara.leg.br/internet/deputado/bandep/74057.jpg
178927;Aliel Machado;PV;PR;https://www.camara.leg.br/internet/deputado/bandep/178927.jpg
204353;Aline Gurgel;UNIÃO;AP;https://www.camara.leg.br/internet/deputado/bandep/204353.jpg
178937;Altineu Côrtes;PL;RJ;https://www.camara.leg.br/internet/deputado/bandep/178937.jpg
178881;Aluisio Mendes;REPUBLICANOS;MA;https://www.camara.leg.br/internet/deputado/bandep/178881.jpg
220707;Amanda Gentil;PP;MA;https://www.camara.leg.br/internet/deputado/bandep/220707.jpg
204356;Amaro Neto;PP;ES;https://www.camara.leg.br/internet/deputado/bandep/204356.jpg
220715;Amom Mandel;REPUBLICANOS;AM;https://www.camara.leg.br/internet/deputado/bandep/220715.jpg
107970;Ana Paula Leão;PP;MG;https://www.camara.leg.br/internet/deputado/bandep/107970.jpg
220556;Ana Paula Lima;PT;SC;https://www.camara.leg.br/internet/deputado/bandep/220556.jpg
220632;Ana Pimentel;PT;MG;https://www.camara.leg.br/internet/deputado/bandep/220632.jpg
178831;André Abdon;PP;AP;https://www.camara.leg.br/internet/deputado/bandep/178831.jpg
220657;André Fernandes;PL;CE;https://www.camara.leg.br/internet/deputado/bandep/220657.jpg
204423;André Ferreira;PL;PE;https://www.camara.leg.br/internet/deputado/bandep/204423.jpg
133439;André Figueiredo;PDT;CE;https://www.camara.leg.br/internet/deputado/bandep/133439.jpg
178882;André Fufuca;PP;MA;https://www.camara.leg.br/internet/deputado/bandep/178882.jpg
204515;André Janones;REDE;MG;https://www.camara.leg.br/internet/deputado/bandep/204515.jpg
220676;Andreia Siqueira;PSB;PA;https://www.camara.leg.br/internet/deputado/bandep/220676.jpg
123756;Antônia Lúcia;MDB;AC;https://www.camara.leg.br/internet/deputado/bandep/123756.jpg
220544;Antonio Andrade;PSDB;TO;https://www.camara.leg.br/internet/deputado/bandep/220544.jpg
160553;Antonio Brito;PSD;BA;https://www.camara.leg.br/internet/deputado/bandep/160553.jpg
220638;Antonio Carlos Rodrigues;PODE;SP;https://www.camara.leg.br/internet/deputado/bandep/220638.jpg
220675;Antônio Doido;MDB;PA;https://www.camara.leg.br/internet/deputado/bandep/220675.jpg
220549;Any Ortiz;PP;RS;https://www.camara.leg.br/internet/deputado/bandep/220549.jpg
73433;Arlindo Chinaglia;PT;SP;https://www.camara.leg.br/internet/deputado/bandep/73433.jpg
141391;Arnaldo Jardim;CIDADANIA;SP;https://www.camara.leg.br/internet/deputado/bandep/141391.jpg
160541;Arthur Lira;PP;AL;https://www.camara.leg.br/internet/deputado/bandep/160541.jpg
160600;Arthur Oliveira Maia;UNIÃO;BA;https://www.camara.leg.br/internet/deputado/bandep/160600.jpg
74090;Átila Lins;PSD;AM;https://www.camara.leg.br/internet/deputado/bandep/74090.jpg
123086;Átila Lira;PP;PI;https://www.camara.leg.br/internet/deputado/bandep/123086.jpg
160665;Augusto Coutinho;REPUBLICANOS;PE;https://www.camara.leg.br/internet/deputado/bandep/160665.jpg
160512;Aureo Ribeiro;SOLIDARIEDADE;RJ;https://www.camara.leg.br/internet/deputado/bandep/160512.jpg
69871;Bacelar;PV;BA;https://www.camara.leg.br/internet/deputado/bandep/69871.jpg
178975;Baleia Rossi;MDB;SP;https://www.camara.leg.br/internet/deputado/bandep/178975.jpg
220605;Bandeira de Mello;PV;RJ;https://www.camara.leg.br/internet/deputado/bandep/220605.jpg
